推文,阅读量,tag,curve
1,294,3,78.10839532
2,107,2,28.4272051
3,231,3,61.37088204
4,247,4,65.62167906
5,251,6,66.68437832
6,281,1,74.65462274
7,342,1,90.8607864
8,182,6,48.35281615
9,326,3,86.60998937
10,148,4,39.31987248
11,339,1,90.06376196
12,266,4,70.66950053
13,568,1,150.9032944
14,471,1,125.1328374
15,135,3,35.86609989
16,173,1,45.96174283
17,505,1,134.1657811
18,2067,1,549.1498406
19,660,5,175.3453773
20,246,1,65.35600425
21,386,1,102.5504782
22,435,3,115.5685441
23,3990,1,1060.042508
24,652,1,173.2199787
25,192,1,51.00956429
26,59,7,15.67481403
27,115,3,30.55260361
28,237,5,62.96493092
29,55,7,14.61211477
30,333,1,88.46971307
31,100,6,18.76524676
32,917,3,172.0773128
33,808,6,151.6231938
34,36,7,6.755488835
35,89,7,16.70106962
36,1622,3,304.3723025
37,896,3,168.136611
38,296,1,55.54513042
39,79,7,14.82454494
40,590,4,110.7149559
41,34,7,6.380183899
42,1683,5,315.819103
43,1195,2,224.2446988
44,527,2,98.89285044
45,64,7,12.00975793
46,413,3,77.50046913
47,618,2,115.969225
48,68,7,12.7603678
49,525,5,98.51754551
50,1225,4,229.8742728
51,98,7,18.38994183
52,68,7,12.7603678
53,36,7,6.755488835
54,92,7,17.26402702
55,127,7,23.83186339
56,704,4,132.1073372
57,164,7,30.77500469
58,1174,2,220.303997
59,133,6,24.95777819
60,1174,2,220.303997
61,634,1,277.5831874
62,195,5,85.3765324
63,30,6,13.13485114
64,10,6,4.378283713
65,226,3,98.94921191
66,71,5,31.08581436
67,18,7,7.880910683
68,172,2,75.30647986
69,212,3,92.81961471
70,11,6,4.816112084
71,46,6,20.14010508
72,14,6,6.129597198
73,58,7,25.39404553
74,18,6,7.880910683
75,31,6,13.57267951
76,28,6,12.2591944
77,16,6,7.00525394
78,43,6,18.82661996
79,145,3,63.48511384
80,64,5,28.02101576
81,75,5,32.83712785
82,178,3,77.93345009
83,24,6,10.50788091
84,37,6,16.19964974
85,1849,3,809.5446585
86,324,5,141.8563923
87,1213,5,531.0858144
88,372,5,162.8721541
89,567,3,248.2486865
90,170,3,74.43082312
