消息发送（2022-10-01至2022-12-29）,,,,,,,,,
时间,消息发送人数,消息发送次数,人均发送次数,,,,,,
,,,,,,,,,
2022/10/1,-,-,-,,,,,,
2022/10/2,-,-,-,,,,,,
2022/10/3,1,1,1,,,,,,
2022/10/4,-,-,-,,,,,,
2022/10/5,-,-,-,,,,,,
2022/10/6,-,-,-,,,,,,
2022/10/7,2,3,1.5,,,,,,
2022/10/8,2,2,1,,,,,,
2022/10/9,2,4,2,,,,,,
2022/10/10,1,2,2,,,,,,
2022/10/11,1,1,1,,,,,,
2022/10/12,1,8,8,,,,,,
2022/10/13,-,-,-,,,,,,
2022/10/14,-,-,-,,,,,,
2022/10/15,-,-,-,,,,,,
2022/10/16,-,-,-,,,,,,
2022/10/17,1,1,1,,,,,,
2022/10/18,1,1,1,,,,,,
2022/10/19,1,1,1,,,,,,
2022/10/20,-,-,-,,,,,,
2022/10/21,-,-,-,,,,,,
2022/10/22,-,-,-,,,,,,
2022/10/23,2,2,1,,,,,,
2022/10/24,8,11,1.38,,,,,,
2022/10/25,8,21,2.62,,,,,,
2022/10/26,10,13,1.3,,,,,,
2022/10/27,5,6,1.2,,,,,,
2022/10/28,6,8,1.33,,,,,,
2022/10/29,4,6,1.5,,,,,,
2022/10/30,2,2,1,,,,,,
2022/10/31,-,-,-,,,,,,
2022/11/1,4,6,1.5,,,,,,
2022/11/2,2,2,1,,,,,,
2022/11/3,2,2,1,,,,,,
2022/11/4,8,12,1.5,,,,,,
2022/11/5,5,5,1,,,,,,
2022/11/6,29,38,1.31,,,,,,
2022/11/7,31,42,1.35,,,,,,
2022/11/8,41,60,1.46,,,,,,
2022/11/9,42,81,1.93,,,,,,
2022/11/10,29,57,1.97,,,,,,
2022/11/11,28,34,1.21,,,,,,
2022/11/12,15,23,1.53,,,,,,
2022/11/13,10,12,1.2,,,,,,
2022/11/14,9,9,1,,,,,,
2022/11/15,3,3,1,,,,,,
2022/11/16,13,13,1,,,,,,
2022/11/17,12,13,1.08,,,,,,
2022/11/18,16,23,1.44,,,,,,
2022/11/19,10,11,1.1,,,,,,
2022/11/20,18,20,1.11,,,,,,
2022/11/21,32,37,1.16,,,,,,
2022/11/22,8,11,1.38,,,,,,
2022/11/23,11,12,1.09,,,,,,
2022/11/24,22,34,1.55,,,,,,
2022/11/25,6,11,1.83,,,,,,
2022/11/26,4,4,1,,,,,,
2022/11/27,5,10,2,,,,,,
2022/11/28,11,16,1.45,,,,,,
2022/11/29,7,7,1,,,,,,
2022/11/30,7,9,1.29,,,,,,
2022/12/1,9,12,1.33,,,,,,
2022/12/2,14,23,1.64,,,,,,
2022/12/3,16,101,6.31,,,,,,
2022/12/4,9,9,1,,,,,,
2022/12/5,8,9,1.12,,,,,,
2022/12/6,7,14,2,,,,,,
2022/12/7,8,8,1,,,,,,
2022/12/8,14,19,1.36,,,,,,
2022/12/9,9,11,1.22,,,,,,
2022/12/10,12,13,1.08,,,,,,
2022/12/11,14,17,1.21,,,,,,
2022/12/12,18,20,1.11,,,,,,
2022/12/13,10,13,1.3,,,,,,
2022/12/14,20,28,1.4,,,,,,
2022/12/15,63,72,1.14,,,,,,
2022/12/16,191,218,1.14,,,,,,
2022/12/17,100,110,1.1,,,,,,
2022/12/18,77,95,1.23,,,,,,
2022/12/19,55,59,1.07,,,,,,
2022/12/20,58,64,1.1,,,,,,
2022/12/21,35,48,1.37,,,,,,
2022/12/22,94,111,1.18,,,,,,
2022/12/23,63,71,1.13,,,,,,
2022/12/24,63,71,1.13,,,,,,
2022/12/25,70,80,1.14,,,,,,
2022/12/26,30,35,1.17,,,,,,
2022/12/27,30,50,1.67,,,,,,
2022/12/28,6,9,1.5,,,,,,
2022/12/29,3,4,1.33,,,,,,
