时间,新关注人数,取消关注人数,净增关注人数,累积关注人数
2022/10/1,4,1,3,508
2022/10/2,10,0,10,518
2022/10/3,4,2,2,520
2022/10/4,12,1,11,531
2022/10/5,4,0,4,535
2022/10/6,18,0,18,553
2022/10/7,45,1,44,597
2022/10/8,243,12,231,828
2022/10/9,142,10,132,960
2022/10/10,98,7,91,1051
2022/10/11,14,1,13,1064
2022/10/12,8,3,5,1069
2022/10/13,179,2,177,1246
2022/10/14,236,9,227,1473
2022/10/15,13,2,11,1484
2022/10/16,4,3,1,1485
2022/10/17,2,1,1,1486
2022/10/18,3,3,0,1486
2022/10/19,4,3,1,1487
2022/10/20,3,1,2,1489
2022/10/21,7,0,7,1496
2022/10/22,1,1,0,1496
2022/10/23,27,8,19,1515
2022/10/24,278,22,256,1771
2022/10/25,157,10,147,1918
2022/10/26,113,15,98,2016
2022/10/27,48,3,45,2061
2022/10/28,56,6,50,2111
2022/10/29,38,8,30,2141
2022/10/30,25,4,21,2162
2022/10/31,29,5,24,2186
2022/11/1,31,5,26,2212
2022/11/2,26,5,21,2233
2022/11/3,329,19,310,2543
2022/11/4,923,39,884,3427
2022/11/5,1805,54,1751,5178
2022/11/6,6771,241,6530,11708
2022/11/7,10113,313,9800,21508
2022/11/8,10356,649,9707,31215
2022/11/9,8769,697,8072,39287
2022/11/10,1822,448,1374,40661
2022/11/11,4033,543,3490,44151
2022/11/12,1156,583,573,44724
2022/11/13,407,400,7,44731
2022/11/14,277,368,-91,44640
2022/11/15,216,397,-181,44459
2022/11/16,414,379,35,44494
2022/11/17,117,244,-127,44367
2022/11/18,178,259,-81,44286
2022/11/19,99,238,-139,44147
2022/11/20,141,270,-129,44018
2022/11/21,86,345,-259,43759
2022/11/22,81,47,34,43793
2022/11/23,74,31,43,43836
2022/11/24,224,47,177,44013
2022/11/25,39,33,6,44019
2022/11/26,47,32,15,44034
2022/11/27,31,22,9,44043
2022/11/28,58,19,39,44082
2022/11/29,33,15,18,44100
2022/11/30,29,29,0,44100
2022/12/1,38,32,6,44106
2022/12/2,34,97,-63,44043
2022/12/3,23,57,-34,44009
2022/12/4,25,29,-4,44005
2022/12/5,21,16,5,44010
2022/12/6,14,24,-10,44000
2022/12/7,20,28,-8,43992
2022/12/8,19,203,-184,43808
2022/12/9,12,55,-43,43765
2022/12/10,16,33,-17,43748
2022/12/11,27,22,5,43753
2022/12/12,26,35,-9,43744
2022/12/13,14,23,-9,43735
2022/12/14,29,14,15,43750
2022/12/15,30,97,-67,43683
2022/12/16,114,79,35,43718
2022/12/17,70,29,41,43759
2022/12/18,63,20,43,43802
2022/12/19,44,23,21,43823
2022/12/20,42,25,17,43840
2022/12/21,25,19,6,43846
2022/12/22,153,89,64,43910
2022/12/23,76,42,34,43944
2022/12/24,168,125,43,43987
2022/12/25,192,59,133,44120
2022/12/26,48,19,29,44149
2022/12/27,27,14,13,44162
2022/12/28,12,24,-12,44150
2022/12/29,3,8,-5,44145
2022/12/30,,,,
